id,season,home_id,away_id
401218616,2020,2110,2046
401238035,2020,5,2110
401207101,2020,2572,6
401237353,2020,276,2198
401235700,2020,349,2393
401212484,2020,326,2567
401207098,2020,249,2277
401212553,2020,235,2032
401239884,2020,2638,2617
401234576,2020,2426,252
401234559,2020,2390,5
401234565,2020,153,183
401236038,2020,277,2198
401236081,2020,2026,2429
401236053,2020,2306,2032
401236221,2020,66,309
401240113,2020,349,2433
401234574,2020,87,150
401207113,2020,326,2636
401234563,2020,52,59
401240233,2020,221,2046
401215298,2020,290,2097
401240039,2020,58,2643
401236054,2020,201,2623
401239973,2020,6,2655
401234562,2020,154,228
401234564,2020,97,98
401236222,2020,251,2638
401236039,2020,2641,2277
401236658,2020,2305,324
401240126,2020,324,2097
401236041,2020,197,202
401212541,2020,2132,2046
401215301,2020,2247,309
401212522,2020,2655,2426
401207124,2020,98,2335
401234571,2020,221,183
401234567,2020,150,103
401241282,2020,87,58
401236939,2020,276,2026
401240640,2020,2393,2653
401234568,2020,59,2116
401240041,2020,2636,2617
401237492,2020,228,2643
401207120,2020,249,2567
401215302,2020,2433,326
401234569,2020,97,2390
401207106,2020,2572,2348
401234570,2020,152,154
401239885,2020,2638,2000
401207132,2020,6,5
401207134,2020,2636,2393
401234595,2020,221,97
401212536,2020,151,2116
401234594,2020,183,59
401235996,2020,201,2306
401215303,2020,309,290
401236952,2020,145,57
401236253,2020,2026,2097
401237034,2020,2,96
401207126,2020,2335,2229
401237493,2020,2643,2198
401235994,2020,2628,66
401240194,2020,2433,2638
401235997,2020,197,277
401235995,2020,2641,251
401240996,2020,2132,349
401237035,2020,99,344
401237033,2020,8,61
401234638,2020,258,150
401241303,2020,103,326
401234734,2020,2572,2655
401236951,2020,142,333
401232157,2020,2348,2277
401212485,2020,2567,2617
401235993,2020,239,2305
401234593,2020,2390,52
401237037,2020,245,238
401237036,2020,2579,2633
401236381,2020,2110,2623
401234566,2020,259,152
401236223,2020,252,2653
401240282,2020,154,2097
401246275,2020,252,2348
401236002,2020,251,2628
401237099,2020,2633,142
401237096,2020,57,2579
401235998,2020,277,239
401212547,2020,2247,151
401234600,2020,221,152
401215304,2020,324,2032
401207141,2020,5,2636
401237513,2020,2335,2453
401240040,2020,349,2000
401246566,2020,2198,2277
401236000,2020,2305,197
401212476,2020,2132,58
401234597,2020,103,153
401237093,2020,333,245
401240124,2020,2449,2110
401236001,2020,2306,2641
401212486,2020,2567,235
401207136,2020,2226,2429
401237097,2020,96,145
401238034,2020,52,55
401234599,2020,150,259
401240042,2020,2617,2704
401207138,2020,2393,98
401212557,2020,2005,2426
401215305,2020,2433,290
401235999,2020,66,201
401212531,2020,2116,202
401207139,2020,249,2572
401237094,2020,344,8
401237095,2020,61,2
401237098,2020,238,99
401234598,2020,228,258
401212523,2020,248,2655
401234601,2020,59,97
401207215,2020,2335,2433
401237106,2020,238,2579
401237102,2020,245,57
401237105,2020,99,142
401236005,2020,201,251
401234608,2020,258,152
401234607,2020,153,259
401234605,2020,183,150
401240114,2020,349,2643
401240117,2020,55,2382
401236003,2020,66,2641
401215308,2020,2653,326
401237103,2020,61,2633
401240997,2020,252,2636
401246425,2020,2032,2110
401207143,2020,2229,2393
401237101,2020,2,8
401234603,2020,103,221
401236004,2020,2628,2306
401212515,2020,2426,218
401212477,2020,58,151
401207146,2020,98,276
401237100,2020,145,333
401207145,2020,2348,2638
401234606,2020,87,52
401237104,2020,96,344
401234604,2020,228,2390
401207142,2020,249,2429
401215311,2020,309,324
401215310,2020,2032,2247
401212487,2020,2655,2567
401212551,2020,248,252
401236007,2020,277,2305
401212548,2020,151,2426
401234614,2020,2390,221
401237111,2020,2633,96
401234615,2020,183,2335
401234610,2020,59,228
401215313,2020,6,326
401212478,2020,218,58
401237109,2020,2579,2
401240115,2020,2636,349
401207153,2020,5,98
401240034,2020,2453,55
401234613,2020,87,97
401212537,2020,235,2116
401237108,2020,8,145
401234611,2020,152,150
401239872,2020,2653,2198
401250215,2020,290,113
401234616,2020,154,258
401237112,2020,344,245
401249652,2020,2617,2025
401207150,2020,2393,249
401207149,2020,2348,276
401234612,2020,52,153
401236382,2020,2623,2110
401234609,2020,259,103
401237107,2020,333,61
401240642,2020,2026,2032
401250783,2020,2229,55
401212479,2020,58,202
401247297,2020,275,356
401238036,2020,5,309
401236010,2020,2306,2305
401237115,2020,145,2
401215316,2020,324,290
401207154,2020,2429,2638
401234619,2020,97,52
