id,name,capacity,grass,city,state
4617,Bristol Motor Speedway,162000,True,Briston,TN
3654,Brooks Stadium,21000,False,Conway,SC
5997,Brooks Stadium (NY),2000,,Kings Point,NY
3655,Brown Field,5000,False,Valparaiso,IN
3656,Brown Stadium,20000,False,Providence,RI
6210,Bruce R. Deaton Memorial Field,0,,Chicago,IL
3657,Bryant Denny Stadium,101821,True,Tuscaloosa,AL
6056,B.T. Harvey Stadium,9000,,Atlanta,GA
3658,Buccaneer Field,4000,False,North Charleston,SC
5884,Buffalo Stadium,12000,,Canyon,TX
4580,Bulldawg Stadium,0,,Copperas Cove,TX
5873,Bulldogs Stadium,2964,,Bowie,MD
3661,Bulldog Stadium,4400,False,Smithfield,RI
3660,Bulldog Stadium,41031,False,Fresno,CA
3659,Bulldog Stadium (NE),0,,Seward,NE
6125,Bulldog Stadium (TX),1500,,Seguin,TX
3663,Burke-Tarr Stadium,6500,,Jefferson City,TN
3664,Butler Bowl,5647,False,Indianapolis,IN
5862,Butterfield Stadium,5000,,Ithaca,NY
5822,Cadet Memorial Field,4500,,New London,CT
3666,Cajun Field,41426,False,Lafayette,LA
3831,California Memorial Stadium,62467,False,Berkeley,CA
3667,Callaghan Stadium,2000,,Princeton,WV
5910,Callaway Stadium,5000,,Lagrange,GA
6139,Cameron Stadium,3500,,Washington,PA
4013,Camping World Stadium,65000,False,Orlando,FL
347,Camp Randall Stadium,80321,False,Madison,WI
3668,Campus Field,3334,False,Fairfield,CT
5388,Canvas Stadium,36500,False,Fort Collins,CO
5794,Caparso Field,1000,,Paxton,MA
6202,Cardinal Stadium (DC),3500,,Washington,DC
6033,Carl Smith Stadium,3900,,Wise,VA
5930,Carl W. Burt Memorial Stadium,4500,,North Manchester,IN
6067,Carnie Smith Stadium,8343,,Pittsburg,KS
5889,Carpenter-Haygood Stadium,9600,,Arkadelphia,AR
1964,Carrier Dome,49057,False,Syracuse,NY
5916,Carson Park,6500,,Eau Claire,WI
