team,stat_name,stat_value,season
Wyoming,rushingYards,1317,2020
New Mexico,games,7,2020
Arkansas State,interceptions,9,2020
Louisville,penaltyYards,577,2020
Arizona,kickReturnTDs,0,2020
Arizona State,thirdDowns,45,2020
Army,totalYards,3810,2020
Miami (OH),interceptionTDs,1,2020
Coastal Carolina,tacklesForLoss,77,2020
Notre Dame,sacks,29,2020
Wyoming,rushingTDs,16,2020
Buffalo,passAttempts,156,2020
Vanderbilt,turnovers,17,2020
Charlotte,firstDowns,119,2020
Arkansas,thirdDowns,138,2020
Ole Miss,interceptions,14,2020
Ohio,thirdDownConversions,12,2020
Baylor,possessionTime,15738,2020
Bowling Green,kickReturnYards,506,2020
Georgia Tech,games,10,2020
Toledo,penalties,57,2020
California,passesIntercepted,3,2020
Coastal Carolina,kickReturnYards,299,2020
Southern Mississippi,passAttempts,272,2020
Alabama,puntReturnYards,299,2020
Oregon State,puntReturnYards,153,2020
Notre Dame,interceptionTDs,0,2020
Temple,passAttempts,240,2020
Rice,passesIntercepted,6,2020
Eastern Michigan,rushingYards,744,2020
Georgia State,kickReturnYards,169,2020
Syracuse,tacklesForLoss,69,2020
Colorado,penaltyYards,338,2020
SMU,firstDowns,250,2020
NC State,rushingAttempts,434,2020
Missouri,interceptionTDs,1,2020
Texas State,penalties,62,2020
Appalachian State,fumblesLost,6,2020
Virginia Tech,penalties,58,2020
UCLA,passingTDs,18,2020
Boise State,fourthDowns,7,2020
Air Force,tacklesForLoss,17,2020
Nevada,thirdDownConversions,49,2020
Missouri,thirdDownConversions,61,2020
Nebraska,passingTDs,5,2020
Indiana,penaltyYards,357,2020
Syracuse,netPassingYards,1906,2020
Notre Dame,thirdDowns,167,2020
Iowa,interceptions,5,2020
Tennessee,puntReturns,5,2020
Marshall,firstDowns,221,2020
North Carolina,penalties,83,2020
Baylor,puntReturns,11,2020
Colorado State,puntReturns,8,2020
Nevada,turnovers,9,2020
Miami,tacklesForLoss,93,2020
Virginia Tech,fumblesRecovered,5,2020
Louisiana Tech,interceptionYards,207,2020
Indiana,thirdDowns,114,2020
Kansas State,possessionTime,17249,2020
Boston College,thirdDowns,147,2020
TCU,games,10,2020
Florida Atlantic,games,9,2020
Florida International,firstDowns,68,2020
Akron,rushingTDs,7,2020
Penn State,sacks,21,2020
Minnesota,tacklesForLoss,15,2020
Western Kentucky,rushingTDs,11,2020
Kent State,passAttempts,126,2020
Middle Tennessee,penaltyYards,470,2020
Oregon,kickReturnYards,423,2020
UT San Antonio,puntReturnTDs,0,2020
Penn State,kickReturnYards,290,2020
Western Kentucky,interceptionYards,69,2020
Central Michigan,passingTDs,6,2020
Troy,kickReturnTDs,0,2020
Fresno State,puntReturns,7,2020
Western Michigan,fourthDowns,8,2020
UAB,kickReturnTDs,0,2020
Stanford,interceptionYards,0,2020
Maryland,totalYards,2006,2020
Clemson,passAttempts,490,2020
Air Force,thirdDowns,68,2020
Missouri,passAttempts,363,2020
Utah,rushingYards,971,2020
NC State,thirdDownConversions,71,2020
Navy,fumblesRecovered,6,2020
Western Kentucky,sacks,23,2020
Michigan,passesIntercepted,1,2020
Northwestern,rushingAttempts,391,2020
Michigan,thirdDownConversions,27,2020
Michigan State,thirdDowns,113,2020
TCU,interceptionTDs,1,2020
Minnesota,rushingAttempts,298,2020
USC,passingTDs,17,2020
Arkansas,netPassingYards,2386,2020
Minnesota,interceptionTDs,0,2020
Temple,fumblesLost,3,2020
Ohio State,totalYards,4150,2020
TCU,fourthDownConversions,8,2020
Nevada,kickReturnYards,590,2020
UAB,games,9,2020
NC State,fumblesRecovered,3,2020
Virginia,passCompletions,221,2020
Western Kentucky,passingTDs,12,2020
South Carolina,thirdDowns,136,2020
Arizona State,tacklesForLoss,24,2020
Louisiana Tech,rushingTDs,10,2020
Clemson,rushingYards,1848,2020
Iowa,interceptionYards,233,2020
Miami,interceptions,6,2020
UCLA,rushingTDs,13,2020
Cincinnati,kickReturnTDs,1,2020
Western Michigan,fumblesRecovered,1,2020
Tulane,puntReturnTDs,0,2020
Clemson,penalties,64,2020
Michigan,firstDowns,116,2020
Florida Atlantic,kickReturnYards,332,2020
Temple,turnovers,14,2020
LSU,tacklesForLoss,62,2020
Virginia,puntReturnTDs,0,2020
Central Michigan,kickReturnTDs,0,2020
Maryland,puntReturnTDs,0,2020
Oregon,fumblesLost,9,2020
UTEP,interceptionTDs,0,2020
Florida Atlantic,passesIntercepted,6,2020
Coastal Carolina,puntReturns,10,2020
