play_id,game_id,week,season,team,opponent,team_score,opponent_score,yards_to_goal,down,distance,stat_type,stat
401237034104954011,401237034,4,2020,Kentucky,Auburn,13,29,15,1,12,Completion,4
401237034104954011,401237034,4,2020,Kentucky,Auburn,13,29,15,1,12,Reception,4
401237034104954011,401237034,4,2020,Kentucky,Auburn,13,29,15,1,12,Fumble,1
401237034104954004,401237034,4,2020,Kentucky,Auburn,13,29,65,2,2,Incompletion,1
401237034104954004,401237034,4,2020,Kentucky,Auburn,13,29,65,2,2,Target,1
401237034104954007,401237034,4,2020,Kentucky,Auburn,13,29,44,1,10,Completion,3
401237034104954007,401237034,4,2020,Kentucky,Auburn,13,29,44,1,10,Reception,3
401237034104954001,401237034,4,2020,Kentucky,Auburn,13,29,91,1,10,Completion,6
401237034104954001,401237034,4,2020,Kentucky,Auburn,13,29,91,1,10,Reception,6
401237034104954002,401237034,4,2020,Kentucky,Auburn,13,29,85,2,4,Completion,12
401237034104954002,401237034,4,2020,Kentucky,Auburn,13,29,85,2,4,Reception,12
401237034102957901,401237034,4,2020,Kentucky,Auburn,7,8,65,1,10,Rush,4
401237034102957902,401237034,4,2020,Kentucky,Auburn,7,8,61,2,6,Rush,6
401237034102957904,401237034,4,2020,Kentucky,Auburn,7,8,52,2,7,Incompletion,1
401237034102957905,401237034,4,2020,Kentucky,Auburn,7,8,52,3,7,Completion,40
401237034102957905,401237034,4,2020,Kentucky,Auburn,7,8,52,3,7,Reception,40
401237034102957907,401237034,4,2020,Kentucky,Auburn,7,8,8,2,6,Rush,5
401237034102988502,401237034,4,2020,Kentucky,Auburn,7,8,3,3,1,Rush,1
401237034102988503,401237034,4,2020,Kentucky,Auburn,7,8,2,1,2,Rush,1
401237034102957903,401237034,4,2020,Kentucky,Auburn,7,8,55,1,10,Rush,3
401237034102957906,401237034,4,2020,Kentucky,Auburn,7,8,12,1,10,Rush,4
401237034102996502,401237034,4,2020,Kentucky,Auburn,7,8,1,2,1,Rush,0
401237034102997302,401237034,4,2020,Kentucky,Auburn,7,8,1,3,1,Interception Thrown,1
401237034102878307,401237034,4,2020,Kentucky,Auburn,7,8,31,3,1,Rush,1
401237034102878305,401237034,4,2020,Kentucky,Auburn,7,8,40,1,10,Rush,3
401237034102878302,401237034,4,2020,Kentucky,Auburn,7,8,70,1,10,Completion,2
401237034102878302,401237034,4,2020,Kentucky,Auburn,7,8,70,1,10,Reception,2
401237034102878306,401237034,4,2020,Kentucky,Auburn,7,8,37,2,7,Completion,6
401237034102878306,401237034,4,2020,Kentucky,Auburn,7,8,37,2,7,Reception,6
401237034102878309,401237034,4,2020,Kentucky,Auburn,7,8,40,1,20,Completion,-4
401237034102878309,401237034,4,2020,Kentucky,Auburn,7,8,40,1,20,Reception,-4
401237034102878310,401237034,4,2020,Kentucky,Auburn,7,8,44,2,24,Sack Taken,4
401237034102878311,401237034,4,2020,Kentucky,Auburn,7,8,48,3,28,Incompletion,1
401237034102878304,401237034,4,2020,Kentucky,Auburn,7,8,73,2,13,Completion,33
401237034102878304,401237034,4,2020,Kentucky,Auburn,7,8,73,2,13,Reception,33
401237034102878301,401237034,4,2020,Kentucky,Auburn,7,8,84,1,10,Rush,14
401237034101956905,401237034,4,2020,Kentucky,Auburn,7,8,81,2,16,Rush,8
401237034101956906,401237034,4,2020,Kentucky,Auburn,7,8,73,3,8,Rush,12
401237034101956908,401237034,4,2020,Kentucky,Auburn,7,8,61,2,10,Rush,5
401237034101956907,401237034,4,2020,Kentucky,Auburn,7,8,61,1,10,Incompletion,1
401237034101956910,401237034,4,2020,Kentucky,Auburn,7,8,46,1,10,Incompletion,1
401237034101956910,401237034,4,2020,Kentucky,Auburn,7,8,46,1,10,Target,1
401237034102849902,401237034,4,2020,Kentucky,Auburn,7,8,39,4,3,Incompletion,1
401237034101956904,401237034,4,2020,Kentucky,Auburn,7,8,75,1,10,Rush,-6
401235996103949901,401235996,4,2020,Kansas State,Oklahoma,14,28,1,2,1,Touchdown,1
401235996103936404,401235996,4,2020,Kansas State,Oklahoma,7,28,78,1,10,Completion,77
401235996103936404,401235996,4,2020,Kansas State,Oklahoma,7,28,78,1,10,Reception,77
401235996103936405,401235996,4,2020,Kansas State,Oklahoma,7,28,1,1,1,Rush,0
401235996102905204,401235996,4,2020,Kansas State,Oklahoma,0,14,56,4,1,Rush,5
