id,first_name,last_name,position,team_id
696,Paul,Graham,,1
697,Kenny,Anderson,,3
698,Carl,Herrera,,11
699,Myron,Brown,,18
700,Dale,Davis,,12
701,Labradford,Smith,,30
702,Bison,Dele,,22
703,Chuck,Nevitt,,5
704,Patrick,Eddie,,20
705,David,Rivers,,13
706,Luc,Longley,,18
707,Bob,McCann,,9
708,Donald,Royal,,27
709,Anthony,Bowie,,22
710,Chris,Corchiani,,22
711,Stephen,Thompson,,22
712,Jeff,Ruland,,23
713,Ronnie,Grandison,,4
714,Lamont,Strothers,,25
715,Tracy,Moore,,7
716,Jaren,Jackson,,10
717,Ennis,Whatley,,25
718,Brian,Howard,,7
719,Steve,Burtt,,24
720,Cedric,Hunter,,4
721,Stephen,Bardo,,27
722,Cliff,T. Robinson,,14
723,Derek,Strong,,30
724,Bobby,Phills,,6
725,Anthony,Avent,,17
726,Lee,Mayberry,,17
727,Todd,Day,,17
728,Tony,Bennett,,4
729,Brent,Price,,30
730,Don,MacLean,,30
731,Tom,Gugliotta,,30
732,Walt,Williams,,26
733,Lloyd,Daniels,,27
734,Vinny,Del Negro,,27
735,Shaquille,O'Neal,,22
736,Adam,Keefe,,1
737,Clar.,Weatherspoon,,23
738,Robert,Horry,,11
739,Chris,Smith,,18
740,Christian,Laettner,,18
741,Gundars,Vetra,,18
742,Corey,Williams,,5
743,Elmore,Spencer,,13
744,Anthony,Peeler,,14
745,Duane,Cooper,,14
746,John,Crotty,,29
747,Stephen,Howard,,29
748,Byron,Houston,,10
749,Keith,Jennings,,10
750,Latrell,Sprewell,,10
751,Bryant,Stith,,8
752,LaPhonso,Ellis,,8
753,Matt,Othick,,27
754,Sam,Mack,,27
755,Anthony,Pullard,,17
756,Malik,Sealy,,12
757,Hubert,Davis,,20
758,Sean,Rooks,,7
759,Walter,Bond,,7
760,Harold,Miner,,16
761,Oliver,Miller,,24
762,Lorenzo,Williams,,4
763,Dave,Johnson,,25
764,Reggie,Smith,,25
765,Tracy,Murray,,25
766,Robert,Werdann,,8
767,Alex,Stivrins,,24
768,Frank,Johnson,,24
769,Randy,Woods,,13
770,Litterial,Green,,22
771,Alonzo,Mourning,,4
772,Alex,Blackwell,,14
773,Isaiah,Morris,,9
774,Doug,Overton,,30
775,Eric,Anderson,,20
776,Tim,Kempton,,24
777,Stan,Kimbrough,,26
778,Jay,Guidinger,,6
779,Gary,Plummer,,8
780,Matt,Geiger,,16
781,Marcus,Webb,,2
782,Jojo,English,,5
783,Marlon,Maxey,,18
784,Jon,Barry,,17
785,Richard,Dumas,,24
786,Radisav,Curcic,,7
787,Andre,Spencer,,1
788,Dexter,Cambridge,,7
789,Joe,Courtney,,5
790,Duane,Washington,,13
791,Melvin,Newbern,,9
792,Ricky,Blanton,,5
793,Jim,Jackson,,7
794,Barry,Stevens,,10
795,Doug,Christie,,14
796,Pat,Durham,,10
797,Thomas,Jordan,,23
798,Gary,Alexander,,16
799,Anfernee,Hardaway,,22
800,Keith,Tower,,22
801,Chris,Whitney,,27
802,Josh,Grant,,10
803,Bobby,Hurley,,26
804,Mike,Peplowski,,26
805,Darnell,Mee,,8
806,Rodney,Rogers,,8
807,Acie,Earl,,2
808,Dino,Radja,,2
809,Chris,Mills,,6
810,Vin,Baker,,17
811,Antonio,Harvey,,14
812,Nick,Van Exel,,14
813,Terry,Dehere,,13
814,James,Robinson,,25
815,Corie,Blount,,5
816,Toni,Kukoc,,5
817,Michael,Curry,,23
818,Shawn,Bradley,,23
819,Warren,Kidd,,23
820,Calbert,Cheaney,,30
821,Mitchell,Butler,,30
822,Tito,Horford,,30
823,Bryon,Russell,,29
824,Luther,Wright,,29
825,Darren,Morningstar,,7
826,Jamal,Mashburn,,7
827,Lucious,Harris,,7
828,Popeye,Jones,,7
829,Eric,Riley,,11
830,Sam,Cassell,,11
831,P.J.,Brown,,3
832,Rex,Walters,,3
833,Antonio,Davis,,12
834,Allan,Houston,,9
835,Lindsey,Hunter,,9
836,Brian,Davis,,18
837,Isaiah,Rider,,18
838,Matt,Wenstrom,,2
839,Scott,Haskin,,12
840,Gerald,Madkins,,6
841,Greg,Graham,,23
842,Ervin,Johnson,,21
843,George,Lynch,,14
844,Bob,Martin,,13
845,Ricky,Grace,,1
846,Sedric,Toney,,6
847,Chris,Webber,,10
848,Gheorghe,Muresan,,30
849,Richard,Petruska,,11
850,Kevin,Thompson,,25
851,Adonis,Jordan,,8
852,Scott,Burrell,,4
853,Dell,Demps,,10
854,Evers,Burns,,26
855,Aaron,Williams,,29
856,Stanley,Jackson,,18
857,David,Wesley,,3
858,Chris,King,,21
859,Doug,Edwards,,1
860,Harold,Ellis,,13
861,Malcolm,Mackey,,24
862,Ben,Coleman,,9
863,Roy,Marble,,8
864,Reggie,Jordan,,14
865,Chad,Gallagher,,29
866,Bo,Outlaw,,13
867,Bill,Edwards,,23
868,Andrew,Gaze,,30
869,Alphonso,Ford,,21
870,Andres,Guibert,,18
871,Skeeter,Henry,,24
872,Chris,Jent,,11
873,Geert,Hammink,,22
874,Jalen,Rose,,8
875,Reggie,Slater,,8
876,Askia,Jones,,18
877,Donyell,Marshall,,18
878,Howard,Eisley,,18
879,Grant,Hill,,9
880,Anthony,Miller,,14
881,Eddie,Jones,,14
882,Dickey,Simpkins,,5
883,Eric,Piatkowski,,13
884,Lamond,Murray,,13
885,Matt,Fish,,13
886,Aaron,McKie,,25
887,Eric,Montross,,2
888,Fred,Vinson,,1
889,Tom,Hovasse,,1
890,Jamie,Watson,,29
891,Khalid,Reeves,,16
892,Brian,Grant,,26
893,Henry,Turner,,26
894,Michael,Smith,,26
895,Antonio,Lang,,24
896,Wesley,Person,,24
897,B.J.,Tyler,,23
898,Derrick,Alston,,23
899,Sharone,Wright,,23
900,Eric,Mobley,,17
901,Darrin,Hancock,,4
902,Bill,Curley,,9
903,Anthony,Tucker,,30
904,Tim,Breaux,,11
905,Zan,Tabak,,11
906,Brooks,Thompson,,22
907,Glenn,Robinson,,17
908,Jason,Kidd,,7
909,Tony,Dumas,,7
910,Monty,Williams,,20
911,Carlos,Rogers,,10
912,Sergei,Bazarevich,,1
913,Julius,Nwosu,,27
914,Trevor,Ruffin,,24
915,Yinka,Dare,,3
916,Greg,Minor,,2
917,Clifford,Rozier,,10
918,Charlie,Ward,,20
919,Dontonio,Wingfield,,21
920,Aaron,Swinson,,24
921,Jim,McIlvaine,,30
922,Juwan,Howard,,30
923,James,Blackwell,,4
924,Ivano,Newbill,,9
925,Dwayne,Morton,,10
926,Chris,Childs,,3
927,Ryan,Lorthridge,,10
928,Elmer,Bennett,,6
929,Darrick,Martin,,18
930,Jerome,Harmon,,23
931,Mark,Strickland,,12
932,Eldridge,Recasner,,8
933,Darrell,Armstrong,,22
934,Derrick,Phelps,,26
935,Cherokee,Parks,,7
936,Loren,Meyer,,7
937,Charles,Claxton,,2
938,Eric,Williams,,2
939,Junior,Burrough,,2
940,Brent,Barry,,13
941,Chris,Carr,,24
942,Michael,Finley,,24
943,Greg,Ostertag,,29
944,Eric,Snow,,21
945,Sherell,Ford,,21
946,Jerry,Stackhouse,,23
947,Jeff,Webster,,30
948,Rasheed,Wallace,,30
949,Arvydas,Sabonis,,25
950,Gary,Trent,,25
951,Randolph,Childress,,25
952,Bryant,Reeves,,15
953,Lawrence,Moten,,15
954,Jason,Caffey,,5
955,George,Zidek,,4
956,Alvin,Heggs,,11
