playId,gameId,week,season,team,opponent,teamScore,opponentScore,yardsToGoal,down,distance,statType,stat
401234599103968205,401234599,5,2020,Virginia Tech,Duke,24,14,42,2,8,Rush,1
401234599101887001,401234599,5,2020,Virginia Tech,Duke,0,7,75,1,10,Rush,5
401234599101887003,401234599,5,2020,Virginia Tech,Duke,0,7,59,1,10,Rush,13
401234599101887004,401234599,5,2020,Virginia Tech,Duke,0,7,46,1,10,Rush,0
401234599101887005,401234599,5,2020,Virginia Tech,Duke,0,7,46,2,10,Rush,6
401234599101887002,401234599,5,2020,Virginia Tech,Duke,0,7,70,2,5,Completion,11
401234599101887002,401234599,5,2020,Virginia Tech,Duke,0,7,70,2,5,Reception,11
401234599101887006,401234599,5,2020,Virginia Tech,Duke,0,7,40,3,4,Incompletion,1
401234599101887006,401234599,5,2020,Virginia Tech,Duke,0,7,40,3,4,Target,1
401234599101867202,401234599,5,2020,Virginia Tech,Duke,0,0,64,2,10,Rush,-1
401234599101867201,401234599,5,2020,Virginia Tech,Duke,0,0,64,1,10,Incompletion,1
401234599101867201,401234599,5,2020,Virginia Tech,Duke,0,0,64,1,10,Target,1
401234599101867203,401234599,5,2020,Virginia Tech,Duke,0,0,65,3,11,Incompletion,1
401234599101867203,401234599,5,2020,Virginia Tech,Duke,0,0,65,3,11,Target,1
401234599103888401,401234599,5,2020,Virginia Tech,Duke,10,14,16,1,10,Rush,3
401234599103888402,401234599,5,2020,Virginia Tech,Duke,10,14,13,2,7,Rush,4
401234599103888403,401234599,5,2020,Virginia Tech,Duke,10,14,9,3,3,Rush,6
401234599103888405,401234599,5,2020,Virginia Tech,Duke,10,14,2,2,2,Incompletion,1
401234599103888405,401234599,5,2020,Virginia Tech,Duke,10,14,2,2,2,Target,1
401234599103908201,401234599,5,2020,Virginia Tech,Duke,17,14,2,3,2,Rush,2
401234599103908201,401234599,5,2020,Virginia Tech,Duke,17,14,2,3,2,Touchdown,1
401234599103888404,401234599,5,2020,Virginia Tech,Duke,10,14,3,1,3,Rush,1
401234599103849904,401234599,5,2020,Virginia Tech,Duke,10,7,67,2,2,Incompletion,1
401234599103849904,401234599,5,2020,Virginia Tech,Duke,10,7,67,2,2,Target,1
401234599103849903,401234599,5,2020,Virginia Tech,Duke,10,7,75,1,10,Rush,8
401234599102984202,401234599,5,2020,Virginia Tech,Duke,10,7,58,2,9,Rush,2
401234599102984205,401234599,5,2020,Virginia Tech,Duke,10,7,48,1,10,Interception Thrown,1
401234599102984204,401234599,5,2020,Virginia Tech,Duke,10,7,51,3,2,Completion,3
401234599102984204,401234599,5,2020,Virginia Tech,Duke,10,7,51,3,2,Reception,3
401234599102984201,401234599,5,2020,Virginia Tech,Duke,10,7,59,1,10,Rush,1
401234599102895201,401234599,5,2020,Virginia Tech,Duke,7,7,80,1,10,Rush,5
401234599102895202,401234599,5,2020,Virginia Tech,Duke,7,7,75,2,5,Rush,0
401234599102895203,401234599,5,2020,Virginia Tech,Duke,7,7,75,3,5,Rush,12
401234599102895204,401234599,5,2020,Virginia Tech,Duke,7,7,63,1,10,Rush,12
401234599102895206,401234599,5,2020,Virginia Tech,Duke,7,7,41,1,10,Rush,-1
401234599102895208,401234599,5,2020,Virginia Tech,Duke,7,7,34,3,3,Rush,11
401234599102895209,401234599,5,2020,Virginia Tech,Duke,7,7,23,1,10,Rush,8
401234599102895211,401234599,5,2020,Virginia Tech,Duke,7,7,15,3,2,Rush,0
401234599102895213,401234599,5,2020,Virginia Tech,Duke,7,7,7,1,7,Rush,-2
401234599102895214,401234599,5,2020,Virginia Tech,Duke,7,7,9,2,9,Rush,5
401234599102895210,401234599,5,2020,Virginia Tech,Duke,7,7,15,2,2,Incompletion,1
401234599102895210,401234599,5,2020,Virginia Tech,Duke,7,7,15,2,2,Target,1
401234599102895212,401234599,5,2020,Virginia Tech,Duke,7,7,15,4,2,Completion,8
401234599102968002,401234599,5,2020,Virginia Tech,Duke,7,7,4,3,4,Incompletion,1
401234599102968002,401234599,5,2020,Virginia Tech,Duke,7,7,4,3,4,Target,1
401234599102895207,401234599,5,2020,Virginia Tech,Duke,7,7,42,2,11,Completion,8
401234599103968201,401234599,5,2020,Virginia Tech,Duke,24,14,80,1,10,Incompletion,1
401234599102895207,401234599,5,2020,Virginia Tech,Duke,7,7,42,2,11,Reception,8
401234599102895205,401234599,5,2020,Virginia Tech,Duke,7,7,51,1,10,Rush,10
401234599102864303,401234599,5,2020,Virginia Tech,Duke,7,7,84,3,18,Incompletion,1
401234599103968201,401234599,5,2020,Virginia Tech,Duke,24,14,80,1,10,Target,1
401234599103968203,401234599,5,2020,Virginia Tech,Duke,24,14,86,3,16,Rush,42
401234599103968204,401234599,5,2020,Virginia Tech,Duke,24,14,44,1,10,Rush,2
401234599103968202,401234599,5,2020,Virginia Tech,Duke,24,14,80,2,10,Sack Taken,6
401234599103968206,401234599,5,2020,Virginia Tech,Duke,24,14,41,3,7,Incompletion,1
401234599103968206,401234599,5,2020,Virginia Tech,Duke,24,14,41,3,7,Target,1
401234599103927004,401234599,5,2020,Virginia Tech,Duke,17,14,25,2,8,Rush,11
401234599103927002,401234599,5,2020,Virginia Tech,Duke,17,14,83,1,10,Completion,56
401234599103927002,401234599,5,2020,Virginia Tech,Duke,17,14,83,1,10,Reception,56
401234599103927001,401234599,5,2020,Virginia Tech,Duke,17,14,94,1,10,Rush,11
401234599103954001,401234599,5,2020,Virginia Tech,Duke,24,14,14,1,10,Rush,14
401234599103954001,401234599,5,2020,Virginia Tech,Duke,24,14,14,1,10,Touchdown,1
