id,season,home_id,home_team,away_id,away_team
401218616,2020,2110,Central Arkansas,2046,Austin Peay
401238035,2020,5,UAB,2110,Central Arkansas
401207101,2020,2572,Southern Mississippi,6,South Alabama
401237353,2020,276,Marshall,2198,Eastern Kentucky
401235700,2020,349,Army,2393,Middle Tennessee
401212484,2020,326,Texas State,2567,SMU
401207098,2020,249,North Texas,2277,Houston Christian
401212553,2020,235,Memphis,2032,Arkansas State
401239884,2020,2638,UTEP,2617,Stephen F. Austin
401234576,2020,2426,Navy,252,BYU
401234559,2020,2390,Miami,5,UAB
401234565,2020,153,North Carolina,183,Syracuse
401236038,2020,277,West Virginia,2198,Eastern Kentucky
401236081,2020,2026,Appalachian State,2429,Charlotte
401236053,2020,2306,Kansas State,2032,Arkansas State
401236221,2020,66,Iowa State,309,Louisiana
401240113,2020,349,Army,2433,Louisiana Monroe
401234574,2020,87,Notre Dame,150,Duke
401207113,2020,326,Texas State,2636,UT San Antonio
401234563,2020,52,Florida State,59,Georgia Tech
401240233,2020,221,Pittsburgh,2046,Austin Peay
401215298,2020,290,Georgia Southern,2097,Campbell
401240039,2020,58,South Florida,2643,The Citadel
401236054,2020,201,Oklahoma,2623,Missouri State
401239973,2020,6,South Alabama,2655,Tulane
401234562,2020,154,Wake Forest,228,Clemson
401234564,2020,97,Louisville,98,Western Kentucky
401236222,2020,251,Texas,2638,UTEP
401236039,2020,2641,Texas Tech,2277,Houston Christian
401236658,2020,2305,Kansas,324,Coastal Carolina
401240126,2020,324,Coastal Carolina,2097,Campbell
401236041,2020,197,Oklahoma State,202,Tulsa
401212541,2020,2132,Cincinnati,2046,Austin Peay
401215301,2020,2247,Georgia State,309,Louisiana
401212522,2020,2655,Tulane,2426,Navy
401207124,2020,98,Western Kentucky,2335,Liberty
401234571,2020,221,Pittsburgh,183,Syracuse
401234567,2020,150,Duke,103,Boston College
401241282,2020,87,Notre Dame,58,South Florida
401236939,2020,276,Marshall,2026,Appalachian State
401240640,2020,2393,Middle Tennessee,2653,Troy
401234568,2020,59,Georgia Tech,2116,UCF
401240041,2020,2636,UT San Antonio,2617,Stephen F. Austin
401237492,2020,228,Clemson,2643,The Citadel
401207120,2020,249,North Texas,2567,SMU
401215302,2020,2433,Louisiana Monroe,326,Texas State
401234569,2020,97,Louisville,2390,Miami
401207106,2020,2572,Southern Mississippi,2348,Louisiana Tech
401234570,2020,152,NC State,154,Wake Forest
401239885,2020,2638,UTEP,2000,Abilene Christian
