first_name,last_name,year,wins,losses,ties,school
Gary,Barnett,2003,5,7,0,Colorado
Gary,Barnett,2004,8,5,0,Colorado
Gary,Barnett,2005,7,5,0,Colorado
Mike,Bath,2013,0,7,0,Miami (OH)
Frank,Beamer,2000,11,1,0,Virginia Tech
Frank,Beamer,2001,8,4,0,Virginia Tech
Frank,Beamer,2002,10,4,0,Virginia Tech
Frank,Beamer,2003,8,5,0,Virginia Tech
Frank,Beamer,2004,10,3,0,Virginia Tech
Frank,Beamer,2005,11,2,0,Virginia Tech
Frank,Beamer,2006,10,3,0,Virginia Tech
Frank,Beamer,2007,11,3,0,Virginia Tech
Frank,Beamer,2008,10,4,0,Virginia Tech
Frank,Beamer,2009,10,3,0,Virginia Tech
Frank,Beamer,2010,11,3,0,Virginia Tech
Frank,Beamer,2011,11,3,0,Virginia Tech
Frank,Beamer,2012,7,6,0,Virginia Tech
Frank,Beamer,2013,8,5,0,Virginia Tech
Frank,Beamer,2014,7,6,0,Virginia Tech
Frank,Beamer,2015,7,6,0,Virginia Tech
Shane,Beamer,2021,7,6,0,South Carolina
Shane,Beamer,2022,0,0,0,South Carolina
David,Beaty,2015,0,12,0,Kansas
David,Beaty,2016,2,10,0,Kansas
David,Beaty,2017,1,11,0,Kansas
David,Beaty,2018,3,9,0,Kansas
Tim,Beckman,2009,5,7,0,Toledo
Tim,Beckman,2010,8,5,0,Toledo
Tim,Beckman,2012,2,10,0,Illinois
Tim,Beckman,2013,4,8,0,Illinois
Tim,Beckman,2014,6,7,0,Illinois
Walt,Bell,2019,1,11,0,UMass
Walt,Bell,2020,0,4,0,UMass
Walt,Bell,2021,1,8,0,UMass
Mike,Bellotti,2000,10,2,0,Oregon
Mike,Bellotti,2001,11,1,0,Oregon
Mike,Bellotti,2002,7,6,0,Oregon
Mike,Bellotti,2003,8,5,0,Oregon
Mike,Bellotti,2004,5,6,0,Oregon
Mike,Bellotti,2005,10,2,0,Oregon
Mike,Bellotti,2006,7,6,0,Oregon
Mike,Bellotti,2007,9,4,0,Oregon
Mike,Bellotti,2008,10,3,0,Oregon
Phil,Bennett,2002,3,9,0,SMU
Phil,Bennett,2003,0,12,0,SMU
Phil,Bennett,2004,3,8,0,SMU
Phil,Bennett,2005,5,6,0,SMU
Phil,Bennett,2006,6,6,0,SMU
Phil,Bennett,2007,1,11,0,SMU
Phil,Bennett,2010,1,0,0,Pittsburgh
Todd,Berry,2000,1,10,0,Army
Todd,Berry,2001,3,8,0,Army
Todd,Berry,2002,1,11,0,Army
Todd,Berry,2003,0,6,0,Army
Todd,Berry,2010,5,7,0,Louisiana Monroe
Todd,Berry,2011,4,8,0,Louisiana Monroe
Todd,Berry,2012,8,5,0,Louisiana Monroe
Todd,Berry,2013,6,6,0,Louisiana Monroe
Todd,Berry,2014,4,8,0,Louisiana Monroe
Todd,Berry,2015,2,11,0,Louisiana Monroe
Jack,Bicknell,2000,3,9,0,Louisiana Tech
Jack,Bicknell,2001,7,5,0,Louisiana Tech
Jack,Bicknell,2002,4,8,0,Louisiana Tech
Jack,Bicknell,2003,5,7,0,Louisiana Tech
Jack,Bicknell,2004,6,6,0,Louisiana Tech
Jack,Bicknell,2005,7,4,0,Louisiana Tech
Jack,Bicknell,2006,3,10,0,Louisiana Tech
Bret,Bielema,2006,12,1,0,Wisconsin
Bret,Bielema,2007,9,4,0,Wisconsin
Bret,Bielema,2008,7,6,0,Wisconsin
Bret,Bielema,2009,10,3,0,Wisconsin
Bret,Bielema,2010,11,2,0,Wisconsin
Bret,Bielema,2011,11,3,0,Wisconsin
Bret,Bielema,2012,8,5,0,Wisconsin
Bret,Bielema,2013,3,9,0,Arkansas
Bret,Bielema,2014,7,6,0,Arkansas
Bret,Bielema,2015,8,5,0,Arkansas
Bret,Bielema,2016,7,6,0,Arkansas
Bret,Bielema,2017,4,8,0,Arkansas
Bret,Bielema,2021,5,7,0,Illinois
Bret,Bielema,2022,0,0,0,Illinois
Tim,Billings,2020,2,3,0,Southern Mississippi
Gary,Blackney,2000,2,9,0,Bowling Green
David,Blackwell,2018,0,1,0,East Carolina
Larry,Blakeney,2001,7,4,0,Troy
Larry,Blakeney,2002,4,8,0,Troy
Larry,Blakeney,2003,6,6,0,Troy
Larry,Blakeney,2004,7,5,0,Troy
Larry,Blakeney,2005,4,7,0,Troy
Larry,Blakeney,2006,8,5,0,Troy
Larry,Blakeney,2007,8,4,0,Troy
Larry,Blakeney,2008,8,5,0,Troy
Larry,Blakeney,2009,9,4,0,Troy
Larry,Blakeney,2010,8,5,0,Troy
Larry,Blakeney,2011,3,9,0,Troy
Larry,Blakeney,2012,5,7,0,Troy
Larry,Blakeney,2013,6,6,0,Troy
Larry,Blakeney,2014,3,9,0,Troy
Bill,Blankenship,2011,8,5,0,Tulsa
Bill,Blankenship,2012,11,3,0,Tulsa
Bill,Blankenship,2013,3,9,0,Tulsa
Bill,Blankenship,2014,2,10,0,Tulsa
Mike,Bloomgren,2018,2,11,0,Rice
Mike,Bloomgren,2019,3,9,0,Rice
Mike,Bloomgren,2020,2,3,0,Rice
Mike,Bloomgren,2021,4,8,0,Rice
Mike,Bloomgren,2022,0,0,0,Rice
Mike,Bobo,2015,7,6,0,Colorado State
Mike,Bobo,2016,7,6,0,Colorado State
Mike,Bobo,2017,7,6,0,Colorado State
Mike,Bobo,2018,3,9,0,Colorado State
Mike,Bobo,2019,4,8,0,Colorado State
Mike,Bobo,2020,0,3,0,South Carolina
Craig,Bohl,2014,4,8,0,Wyoming
Craig,Bohl,2015,2,10,0,Wyoming
Craig,Bohl,2016,8,6,0,Wyoming
Craig,Bohl,2017,8,5,0,Wyoming
Craig,Bohl,2018,6,6,0,Wyoming
Craig,Bohl,2019,8,5,0,Wyoming
Craig,Bohl,2020,2,4,0,Wyoming
Craig,Bohl,2021,7,6,0,Wyoming
Craig,Bohl,2022,0,0,0,Wyoming
John,Bonamego,2015,7,6,0,Central Michigan
John,Bonamego,2016,6,7,0,Central Michigan
John,Bonamego,2017,8,5,0,Central Michigan
John,Bonamego,2018,1,11,0,Central Michigan
Bobby,Bowden,2000,11,2,0,Florida State
Bobby,Bowden,2001,8,4,0,Florida State
Bobby,Bowden,2002,9,5,0,Florida State
Bobby,Bowden,2003,10,3,0,Florida State
Bobby,Bowden,2004,9,3,0,Florida State
Bobby,Bowden,2005,8,5,0,Florida State
Bobby,Bowden,2006,7,6,0,Florida State
Bobby,Bowden,2007,7,6,0,Florida State
Bobby,Bowden,2008,9,4,0,Florida State
Bobby,Bowden,2009,7,6,0,Florida State
Terry,Bowden,2012,1,11,0,Akron
Terry,Bowden,2013,5,7,0,Akron
Terry,Bowden,2014,5,7,0,Akron
Terry,Bowden,2015,8,5,0,Akron
Terry,Bowden,2016,5,7,0,Akron
Terry,Bowden,2017,7,7,0,Akron
Terry,Bowden,2018,4,8,0,Akron
Terry,Bowden,2021,4,8,0,Louisiana Monroe
Terry,Bowden,2022,0,0,0,Louisiana Monroe
Tommy,Bowden,2000,9,3,0,Clemson
Tommy,Bowden,2001,7,5,0,Clemson
Tommy,Bowden,2002,7,6,0,Clemson
Tommy,Bowden,2003,9,4,0,Clemson
Tommy,Bowden,2004,6,5,0,Clemson
Tommy,Bowden,2005,8,4,0,Clemson
Tommy,Bowden,2006,8,5,0,Clemson
Tommy,Bowden,2007,9,4,0,Clemson
Tommy,Bowden,2008,3,3,0,Clemson
Jeff,Bower,2000,8,4,0,Southern Mississippi
Jeff,Bower,2001,6,5,0,Southern Mississippi
Jeff,Bower,2002,7,6,0,Southern Mississippi
Jeff,Bower,2003,9,4,0,Southern Mississippi
Jeff,Bower,2004,7,5,0,Southern Mississippi
Jeff,Bower,2005,7,5,0,Southern Mississippi
Jeff,Bower,2006,9,5,0,Southern Mississippi
Jeff,Bower,2007,7,6,0,Southern Mississippi
Gregg,Brandon,2003,11,3,0,Bowling Green
Gregg,Brandon,2004,9,3,0,Bowling Green
Gregg,Brandon,2005,6,5,0,Bowling Green
Gregg,Brandon,2006,4,8,0,Bowling Green
Gregg,Brandon,2007,8,5,0,Bowling Green
Gregg,Brandon,2008,6,6,0,Bowling Green
Brent,Brennan,2017,2,11,0,San José State
Brent,Brennan,2018,1,11,0,San José State
Brent,Brennan,2019,5,7,0,San José State
Brent,Brennan,2020,7,1,0,San José State
Brent,Brennan,2021,5,7,0,San José State
Brent,Brennan,2022,0,0,0,San José State
Tim,Brewster,2007,1,11,0,Minnesota
Tim,Brewster,2008,7,6,0,Minnesota
Tim,Brewster,2009,6,7,0,Minnesota
Tim,Brewster,2010,1,6,0,Minnesota
Art,Briles,2003,7,6,0,Houston
Art,Briles,2004,3,8,0,Houston
Art,Briles,2005,6,6,0,Houston
Art,Briles,2006,10,4,0,Houston
Art,Briles,2007,8,4,0,Houston
Art,Briles,2008,4,8,0,Baylor
Art,Briles,2009,4,8,0,Baylor
Art,Briles,2010,7,6,0,Baylor
Art,Briles,2011,10,3,0,Baylor
Art,Briles,2012,8,5,0,Baylor
Art,Briles,2013,11,2,0,Baylor
Art,Briles,2014,11,2,0,Baylor
Art,Briles,2015,10,3,0,Baylor
Stan,Brock,2007,3,9,0,Army
Stan,Brock,2008,3,9,0,Army
Jeff,Brohm,2014,8,5,0,Western Kentucky
Jeff,Brohm,2015,12,2,0,Western Kentucky
Jeff,Brohm,2016,10,3,0,Western Kentucky
Jeff,Brohm,2017,7,6,0,Purdue
Jeff,Brohm,2018,6,7,0,Purdue
Jeff,Brohm,2019,4,8,0,Purdue
Jeff,Brohm,2020,2,4,0,Purdue
Jeff,Brohm,2021,9,4,0,Purdue
Jeff,Brohm,2022,0,0,0,Purdue
J.D.,Brookhart,2004,6,5,0,Akron
J.D.,Brookhart,2005,7,6,0,Akron
J.D.,Brookhart,2006,5,7,0,Akron
J.D.,Brookhart,2007,4,8,0,Akron
J.D.,Brookhart,2008,5,7,0,Akron
J.D.,Brookhart,2009,3,9,0,Akron
Rich,Brooks,2003,4,8,0,Kentucky
Rich,Brooks,2004,2,9,0,Kentucky
Rich,Brooks,2005,3,8,0,Kentucky
Rich,Brooks,2006,8,5,0,Kentucky
Rich,Brooks,2007,8,5,0,Kentucky
Rich,Brooks,2008,7,6,0,Kentucky
Rich,Brooks,2009,7,6,0,Kentucky
Don,Brown,2022,0,0,0,UMass
Mack,Brown,2000,9,3,0,Texas
Mack,Brown,2001,11,2,0,Texas
Mack,Brown,2002,11,2,0,Texas
Mack,Brown,2003,10,3,0,Texas
Mack,Brown,2004,11,1,0,Texas
Mack,Brown,2005,13,0,0,Texas
Mack,Brown,2006,10,3,0,Texas
Mack,Brown,2007,10,3,0,Texas
Mack,Brown,2008,12,1,0,Texas
Mack,Brown,2009,13,1,0,Texas
Mack,Brown,2010,5,7,0,Texas
Mack,Brown,2011,8,5,0,Texas
Mack,Brown,2012,9,4,0,Texas
Mack,Brown,2013,8,5,0,Texas
Mack,Brown,2019,7,6,0,North Carolina
Mack,Brown,2020,8,4,0,North Carolina
Mack,Brown,2021,6,7,0,North Carolina
Mack,Brown,2022,0,0,0,North Carolina
Neal,Brown,2015,4,8,0,Troy
Neal,Brown,2016,10,3,0,Troy
Neal,Brown,2017,11,2,0,Troy
Neal,Brown,2018,10,3,0,Troy
Neal,Brown,2019,5,7,0,West Virginia
Neal,Brown,2020,6,4,0,West Virginia
Neal,Brown,2021,6,7,0,West Virginia
Neal,Brown,2022,0,0,0,West Virginia
Watson,Brown,2000,7,4,0,UAB
Watson,Brown,2001,6,5,0,UAB
Watson,Brown,2002,5,7,0,UAB
Watson,Brown,2003,5,7,0,UAB
Watson,Brown,2004,7,5,0,UAB
Watson,Brown,2005,5,6,0,UAB
Watson,Brown,2006,3,9,0,UAB
John,Bunting,2001,8,5,0,North Carolina
John,Bunting,2002,3,9,0,North Carolina
John,Bunting,2003,2,10,0,North Carolina
John,Bunting,2004,6,6,0,North Carolina
John,Bunting,2005,5,6,0,North Carolina
John,Bunting,2006,3,9,0,North Carolina
Keith,Burns,2000,5,7,0,Tulsa
Keith,Burns,2001,1,10,0,Tulsa
Keith,Burns,2002,1,11,0,Tulsa
Rickey,Bustle,2002,3,9,0,Louisiana
Rickey,Bustle,2003,4,8,0,Louisiana
Rickey,Bustle,2004,4,7,0,Louisiana
Rickey,Bustle,2005,6,5,0,Louisiana
Rickey,Bustle,2006,6,6,0,Louisiana
Rickey,Bustle,2007,3,9,0,Louisiana
Rickey,Bustle,2008,6,6,0,Louisiana
Rickey,Bustle,2009,6,6,0,Louisiana
Rickey,Bustle,2010,3,9,0,Louisiana
Jim,Caldwell,2000,2,9,0,Wake Forest
Robbie,Caldwell,2010,2,10,0,Vanderbilt
Troy,Calhoun,2007,9,4,0,Air Force
Troy,Calhoun,2008,8,5,0,Air Force
Troy,Calhoun,2009,8,5,0,Air Force
Troy,Calhoun,2010,9,4,0,Air Force
Troy,Calhoun,2011,7,6,0,Air Force
Troy,Calhoun,2012,6,7,0,Air Force
Troy,Calhoun,2013,2,10,0,Air Force
Troy,Calhoun,2014,10,3,0,Air Force
Troy,Calhoun,2015,8,6,0,Air Force
Troy,Calhoun,2016,10,3,0,Air Force
Troy,Calhoun,2017,5,7,0,Air Force
Troy,Calhoun,2018,5,7,0,Air Force
Troy,Calhoun,2019,11,2,0,Air Force
Troy,Calhoun,2020,3,3,0,Air Force
Troy,Calhoun,2021,10,3,0,Air Force
Troy,Calhoun,2022,0,0,0,Air Force
Bill,Callahan,2004,5,6,0,Nebraska
Bill,Callahan,2005,8,4,0,Nebraska
Bill,Callahan,2006,9,5,0,Nebraska
Bill,Callahan,2007,5,7,0,Nebraska
Neil,Callaway,2007,2,10,0,UAB
Neil,Callaway,2008,4,8,0,UAB
Neil,Callaway,2009,5,7,0,UAB
Neil,Callaway,2010,4,8,0,UAB
Neil,Callaway,2011,3,9,0,UAB
Cam,Cameron,2000,3,8,0,Indiana
Cam,Cameron,2001,5,6,0,Indiana
Nunzio,Campanile,2019,1,7,0,Rutgers
Matt,Campbell,2011,1,0,0,Toledo
Matt,Campbell,2012,9,4,0,Toledo
Matt,Campbell,2013,7,5,0,Toledo
Matt,Campbell,2014,9,4,0,Toledo
Matt,Campbell,2015,9,2,0,Toledo
Matt,Campbell,2016,3,9,0,Iowa State
Matt,Campbell,2017,8,5,0,Iowa State
Matt,Campbell,2018,8,5,0,Iowa State
Matt,Campbell,2019,7,6,0,Iowa State
Matt,Campbell,2020,9,3,0,Iowa State
Matt,Campbell,2021,7,6,0,Iowa State
Matt,Campbell,2022,0,0,0,Iowa State
Steve,Campbell,2018,3,9,0,South Alabama
Steve,Campbell,2019,2,10,0,South Alabama
Steve,Campbell,2020,4,7,0,South Alabama
Steve,Campbell,2021,0,0,0,South Alabama
Matt,Canada,2018,5,7,0,Maryland
Mike,Canales,2010,2,3,0,North Texas
Jason,Candle,2015,1,0,0,Toledo
Jason,Candle,2016,9,4,0,Toledo
Jason,Candle,2017,11,3,0,Toledo
Jason,Candle,2018,7,6,0,Toledo
Jason,Candle,2019,6,6,0,Toledo
Jason,Candle,2020,4,2,0,Toledo
Jason,Candle,2021,7,6,0,Toledo
Jason,Candle,2022,0,0,0,Toledo
Ron,Caragher,2013,6,6,0,San José State
Ron,Caragher,2014,3,9,0,San José State
Ron,Caragher,2015,6,7,0,San José State
Ron,Caragher,2016,4,8,0,San José State
Rod,Carey,2012,0,1,0,Northern Illinois
Rod,Carey,2013,12,2,0,Northern Illinois
Rod,Carey,2014,11,3,0,Northern Illinois
Rod,Carey,2015,8,6,0,Northern Illinois
Rod,Carey,2016,5,7,0,Northern Illinois
Rod,Carey,2017,8,5,0,Northern Illinois
Rod,Carey,2018,8,6,0,Northern Illinois
Rod,Carey,2019,8,5,0,Temple
Rod,Carey,2020,1,6,0,Temple
Rod,Carey,2021,3,9,0,Temple
Lloyd,Carr,2000,9,3,0,Michigan
Lloyd,Carr,2001,8,4,0,Michigan
Lloyd,Carr,2002,10,3,0,Michigan
Lloyd,Carr,2003,10,3,0,Michigan
Lloyd,Carr,2004,9,3,0,Michigan
Lloyd,Carr,2005,7,5,0,Michigan
Lloyd,Carr,2006,11,2,0,Michigan
Lloyd,Carr,2007,9,4,0,Michigan
Pete,Carroll,2001,6,6,0,USC
Pete,Carroll,2002,11,2,0,USC
Pete,Carroll,2003,12,1,0,USC
Pete,Carroll,2004,13,0,0,USC
Pete,Carroll,2005,12,1,0,USC
Pete,Carroll,2006,11,2,0,USC
Pete,Carroll,2007,11,2,0,USC
Pete,Carroll,2008,12,1,0,USC
Pete,Carroll,2009,9,4,0,USC
Mike,Cavan,2000,3,9,0,SMU
Mike,Cavan,2001,4,7,0,SMU
Jamey,Chadwell,2017,3,9,0,Coastal Carolina
Jamey,Chadwell,2019,5,7,0,Coastal Carolina
Jamey,Chadwell,2020,11,1,0,Coastal Carolina
Jamey,Chadwell,2021,11,2,0,Coastal Carolina
Jamey,Chadwell,2022,0,0,0,Coastal Carolina
Jim,Chaney,2012,1,0,0,Tennessee
Timmy,Chang,2022,0,0,0,Hawai'i
Gene,Chizik,2007,3,9,0,Iowa State
Gene,Chizik,2008,2,10,0,Iowa State
Gene,Chizik,2009,8,5,0,Auburn
Gene,Chizik,2010,14,0,0,Auburn
Gene,Chizik,2011,8,5,0,Auburn
Gene,Chizik,2012,3,9,0,Auburn
Norm,Chow,2012,3,9,0,Hawai'i
Norm,Chow,2013,1,11,0,Hawai'i
Norm,Chow,2014,4,9,0,Hawai'i
Norm,Chow,2015,2,7,0,Hawai'i
Dave,Christensen,2009,7,6,0,Wyoming
Dave,Christensen,2010,3,9,0,Wyoming
Dave,Christensen,2011,8,5,0,Wyoming
Dave,Christensen,2012,4,8,0,Wyoming
Dave,Christensen,2013,5,7,0,Wyoming
Paul,Chryst,2012,6,7,0,Pittsburgh
Paul,Chryst,2013,7,6,0,Pittsburgh
Paul,Chryst,2014,6,6,0,Pittsburgh
Paul,Chryst,2015,10,3,0,Wisconsin
Paul,Chryst,2016,11,3,0,Wisconsin
Paul,Chryst,2017,13,1,0,Wisconsin
Paul,Chryst,2018,8,5,0,Wisconsin
Paul,Chryst,2019,10,4,0,Wisconsin
Paul,Chryst,2020,4,3,0,Wisconsin
Paul,Chryst,2021,9,4,0,Wisconsin
Paul,Chryst,2022,0,0,0,Wisconsin
Curt,Cignetti,2022,0,0,0,James Madison
Craig,Cirbus,2000,2,9,0,Buffalo
Tracy,Claeys,2015,2,4,0,Minnesota
Tracy,Claeys,2016,9,4,0,Minnesota
Bill,Clark,2014,6,6,0,UAB
Bill,Clark,2017,8,5,0,UAB
Bill,Clark,2018,11,3,0,UAB
Bill,Clark,2019,9,5,0,UAB
Bill,Clark,2020,6,3,0,UAB
Bill,Clark,2021,9,4,0,UAB
Shawn,Clark,2019,1,0,0,Appalachian State
Shawn,Clark,2020,9,3,0,Appalachian State
Shawn,Clark,2021,10,4,0,Appalachian State
Shawn,Clark,2022,0,0,0,Appalachian State
Dave,Clawson,2009,7,6,0,Bowling Green
Dave,Clawson,2010,2,10,0,Bowling Green
Dave,Clawson,2011,5,7,0,Bowling Green
Dave,Clawson,2012,8,5,0,Bowling Green
Dave,Clawson,2013,10,4,0,Bowling Green
Dave,Clawson,2014,3,9,0,Wake Forest
Dave,Clawson,2015,3,9,0,Wake Forest
Dave,Clawson,2016,7,6,0,Wake Forest
Dave,Clawson,2017,8,5,0,Wake Forest
Dave,Clawson,2018,7,6,0,Wake Forest
Dave,Clawson,2019,8,5,0,Wake Forest
Dave,Clawson,2020,4,5,0,Wake Forest
Dave,Clawson,2021,11,3,0,Wake Forest
Dave,Clawson,2022,0,0,0,Wake Forest
Larry,Coker,2001,12,0,0,Miami
Larry,Coker,2002,12,1,0,Miami
Larry,Coker,2003,11,2,0,Miami
Larry,Coker,2004,9,3,0,Miami
Larry,Coker,2005,9,3,0,Miami
Larry,Coker,2006,7,6,0,Miami
Larry,Coker,2012,8,4,0,UT San Antonio
Larry,Coker,2013,7,5,0,UT San Antonio
Larry,Coker,2014,4,8,0,UT San Antonio
Larry,Coker,2015,3,9,0,UT San Antonio
Geoff,Collins,2017,7,6,0,Temple
Geoff,Collins,2018,8,4,0,Temple
Geoff,Collins,2019,3,9,0,Georgia Tech
Geoff,Collins,2020,3,7,0,Georgia Tech
Geoff,Collins,2021,3,9,0,Georgia Tech
Geoff,Collins,2022,0,0,0,Georgia Tech
Mike,Collins,2002,3,6,0,Louisiana Monroe
John,Cooper,2000,8,4,0,Ohio State
Tom,Craft,2002,4,9,0,San Diego State
Tom,Craft,2003,6,6,0,San Diego State
Tom,Craft,2004,4,7,0,San Diego State
Tom,Craft,2005,5,7,0,San Diego State
Chris,Creighton,2014,2,10,0,Eastern Michigan
Chris,Creighton,2015,1,11,0,Eastern Michigan
Chris,Creighton,2016,7,6,0,Eastern Michigan
Chris,Creighton,2017,5,7,0,Eastern Michigan
Chris,Creighton,2018,7,6,0,Eastern Michigan
Chris,Creighton,2019,6,7,0,Eastern Michigan
Chris,Creighton,2020,2,4,0,Eastern Michigan
Chris,Creighton,2021,7,6,0,Eastern Michigan
Chris,Creighton,2022,0,0,0,Eastern Michigan
Mario,Cristobal,2007,1,11,0,Florida International
Mario,Cristobal,2008,5,7,0,Florida International
Mario,Cristobal,2009,3,9,0,Florida International
Mario,Cristobal,2010,7,6,0,Florida International
Mario,Cristobal,2011,8,5,0,Florida International
Mario,Cristobal,2012,3,9,0,Florida International
Mario,Cristobal,2018,9,4,0,Oregon
Mario,Cristobal,2019,12,2,0,Oregon
Mario,Cristobal,2020,4,3,0,Oregon
Mario,Cristobal,2021,10,3,0,Oregon
Mario,Cristobal,2022,0,0,0,Miami
Sylvester,Croom,2004,3,8,0,Mississippi State
Sylvester,Croom,2005,3,8,0,Mississippi State
Sylvester,Croom,2006,3,9,0,Mississippi State
Sylvester,Croom,2007,8,5,0,Mississippi State
Sylvester,Croom,2008,4,8,0,Mississippi State
Gary,Crowton,2001,12,2,0,BYU
Gary,Crowton,2002,5,7,0,BYU
Gary,Crowton,2003,4,8,0,BYU
Gary,Crowton,2004,5,6,0,BYU
