team,stat_name,stat_value,season
UAB,games,11,2001
Iowa State,games,12,2001
Michigan,games,12,2001
Stanford,games,12,2001
Arizona State,games,11,2001
Northern Illinois,games,11,2001
Arizona,games,11,2001
Oregon State,games,11,2001
Florida State,games,12,2001
Air Force,games,12,2001
Georgia Tech,games,13,2001
Wyoming,games,11,2001
Buffalo,games,12,2002
Oregon,games,13,2002
Kent State,games,12,2002
Hawai'i,games,14,2002
Eastern Michigan,games,12,2002
Clemson,games,13,2002
California,games,12,2002
Tulane,games,13,2002
UAB,games,12,2002
Texas Tech,games,14,2002
Nevada,games,12,2002
Tulsa,games,12,2002
UCLA,games,13,2002
Washington State,games,13,2002
Navy,games,12,2002
Ball State,games,12,2002
West Virginia,games,13,2002
Utah State,games,11,2002
USC,games,13,2002
Northwestern,games,12,2002
Oklahoma,games,14,2002
Southern Mississippi,games,13,2002
Missouri,games,12,2002
Georgia Tech,games,13,2002
Cincinnati,games,14,2002
Illinois,games,12,2002
Texas A&M,games,12,2002
SMU,games,12,2002
Baylor,games,12,2002
North Texas,games,13,2002
Marshall,games,13,2002
Central Michigan,games,12,2002
South Florida,games,11,2002
Notre Dame,games,13,2002
Virginia Tech,games,14,2002
Arkansas State,games,13,2002
Tennessee,games,13,2002
Rutgers,games,12,2002
Michigan State,games,12,2002
Arkansas,games,14,2002
Alabama,games,13,2002
Virginia,games,14,2002
Idaho,games,12,2002
Kansas,games,12,2002
Penn State,games,13,2002
Boise State,games,13,2002
San José State,games,13,2002
Ole Miss,games,13,2002
Northern Illinois,games,12,2002
Army,games,12,2002
LSU,games,13,2002
New Mexico State,games,12,2002
Kansas State,games,13,2002
Auburn,games,13,2002
Louisiana Monroe,games,12,2002
Miami,games,13,2002
Minnesota,games,13,2002
Florida State,games,14,2002
Troy,games,12,2002
Arizona,games,12,2002
Pittsburgh,games,13,2002
Utah,games,11,2002
Arizona State,games,14,2002
Louisville,games,13,2002
Colorado,games,14,2002
Ohio,games,12,2002
East Carolina,games,12,2002
Toledo,games,14,2002
San Diego State,games,13,2002
Oregon State,games,13,2002
NC State,games,14,2002
Iowa,games,13,2002
Purdue,games,13,2002
UNLV,games,12,2002
New Mexico,games,14,2002
Duke,games,12,2002
South Carolina,games,12,2002
Louisiana Tech,games,12,2002
Fresno State,games,14,2002
Florida,games,13,2002
Miami (OH),games,12,2002
Kentucky,games,12,2002
Wisconsin,games,14,2002
Bowling Green,games,12,2002
Boston College,games,13,2002
Houston,games,12,2002
Ohio State,games,14,2002
Vanderbilt,games,12,2002
Connecticut,games,12,2002
Memphis,games,12,2002
Indiana,games,12,2002
Michigan,games,13,2002
Colorado State,games,14,2002
Akron,games,12,2002
Wyoming,games,12,2002
Oklahoma State,games,13,2002
Georgia,games,14,2002
UTEP,games,12,2002
Syracuse,games,12,2002
Maryland,games,14,2002
BYU,games,12,2002
Air Force,games,13,2002
Mississippi State,games,12,2002
Iowa State,games,14,2002
Stanford,games,11,2002
Texas,games,13,2002
Nebraska,games,14,2002
Washington,games,13,2002
UCF,games,12,2002
North Carolina,games,12,2002
Louisiana,games,12,2002
TCU,games,12,2002
Temple,games,12,2002
Rice,games,11,2002
Western Michigan,games,12,2002
Wake Forest,games,13,2002
Middle Tennessee,games,12,2002
Western Michigan,games,12,2003
Indiana,games,12,2003
BYU,games,12,2003
Wisconsin,games,13,2003
NC State,games,13,2003
UCLA,games,13,2003
Florida,games,13,2003
Fresno State,games,14,2003
Oregon,games,13,2003
Tennessee,games,13,2003
South Carolina,games,12,2003
Kansas,games,13,2003
LSU,games,14,2003
Louisiana Monroe,games,12,2003
Clemson,games,13,2003
Pittsburgh,games,13,2003
Toledo,games,12,2003
Kentucky,games,12,2003
Colorado State,games,13,2003
Middle Tennessee,games,12,2003
Ball State,games,12,2003
Oklahoma State,games,13,2003
Akron,games,12,2003
Troy,games,12,2003
San José State,games,11,2003
Connecticut,games,12,2003
Central Michigan,games,12,2003
New Mexico,games,13,2003
Florida State,games,13,2003
Iowa State,games,12,2003
Auburn,games,13,2003
Northwestern,games,13,2003
Boston College,games,13,2003
Cincinnati,games,12,2003
UTEP,games,13,2003
USC,games,13,2003
Bowling Green,games,14,2003
UCF,games,12,2003
Air Force,games,12,2003
North Carolina,games,12,2003
Minnesota,games,13,2003
Eastern Michigan,games,12,2003
Arizona,games,12,2003
Tulane,games,12,2003
Southern Mississippi,games,13,2003
Louisville,games,13,2003
Memphis,games,13,2003
Penn State,games,12,2003
Nevada,games,12,2003
Iowa,games,13,2003
Houston,games,13,2003
UAB,games,12,2003
Washington State,games,13,2003
Ohio State,games,13,2003
Purdue,games,13,2003
Ohio,games,12,2003
Colorado,games,12,2003
Michigan,games,13,2003
Oregon State,games,13,2003
Kansas State,games,15,2003
Notre Dame,games,12,2003
Northern Illinois,games,12,2003
Idaho,games,12,2003
Ole Miss,games,13,2003
Army,games,13,2003
Kent State,games,12,2003
Wyoming,games,12,2003
Wake Forest,games,12,2003
West Virginia,games,13,2003
Buffalo,games,12,2003
Stanford,games,11,2003
Louisiana,games,12,2003
Duke,games,12,2003
Texas Tech,games,13,2003
Oklahoma,games,14,2003
Miami (OH),games,14,2003
Michigan State,games,13,2003
Georgia Tech,games,13,2003
Arkansas State,games,12,2003
Virginia,games,13,2003
Baylor,games,12,2003
Rice,games,12,2003
San Diego State,games,12,2003
North Texas,games,13,2003
Utah,games,12,2003
Syracuse,games,12,2003
TCU,games,13,2003
East Carolina,games,12,2003
Alabama,games,13,2003
Tulsa,games,13,2003
Arkansas,games,13,2003
Illinois,games,12,2003
Mississippi State,games,12,2003
Rutgers,games,12,2003
Utah State,games,12,2003
New Mexico State,games,12,2003
UNLV,games,12,2003
Marshall,games,12,2003
Vanderbilt,games,12,2003
South Florida,games,11,2003
Boise State,games,14,2003
Georgia,games,14,2003
Temple,games,12,2003
Texas,games,13,2003
Nebraska,games,13,2003
Miami,games,13,2003
Arizona State,games,12,2003
Navy,games,13,2003
Maryland,games,13,2003
Missouri,games,13,2003
Texas A&M,games,12,2003
Washington,games,12,2003
Virginia Tech,games,13,2003
Hawai'i,games,14,2003
California,games,14,2003
SMU,games,12,2003
Louisiana Tech,games,12,2003
Oregon State,passCompletions,287,2004
Texas Tech,rushingTDs,23,2004
Western Michigan,fumblesLost,13,2004
Minnesota,puntReturnTDs,0,2004
New Mexico State,passCompletions,209,2004
Boise State,penalties,0,2004
Washington State,rushingTDs,13,2004
Missouri,penaltyYards,0,2004
Air Force,fumblesRecovered,8,2004
Tulane,firstDowns,206,2004
East Carolina,thirdDownConversions,58,2004
West Virginia,passingTDs,20,2004
Arizona State,rushingAttempts,435,2004
San José State,interceptionYards,110,2004
Nevada,puntReturnTDs,0,2004
Kent State,rushingTDs,24,2004
Oklahoma State,interceptions,5,2004
Rutgers,thirdDownConversions,68,2004
Louisiana Tech,possessionTime,13027,2004
Ole Miss,games,11,2004
Texas Tech,passAttempts,651,2004
Marshall,totalYards,3858,2004
Texas,netPassingYards,2069,2004
Tennessee,firstDowns,276,2004
Troy,rushingAttempts,510,2004
Kentucky,interceptionTDs,0,2004
New Mexico,possessionTime,12821,2004
Ball State,fourthDownConversions,6,2004
Rutgers,rushingAttempts,367,2004
Texas A&M,games,12,2004
North Carolina,passCompletions,202,2004
Utah State,thirdDownConversions,52,2004
Texas Tech,passingTDs,34,2004
Troy,interceptionYards,403,2004
Louisville,passCompletions,256,2004
Ohio,thirdDownConversions,47,2004
San Diego State,puntReturns,43,2004
Michigan State,fumblesRecovered,7,2004
Pittsburgh,interceptions,7,2004
UAB,thirdDowns,142,2004
Ohio,penalties,0,2004
Cincinnati,interceptionYards,51,2004
Fresno State,thirdDownConversions,74,2004
Louisiana Tech,puntReturnTDs,1,2004
Tennessee,netPassingYards,2880,2004
Louisiana Monroe,penalties,0,2004
Temple,fumblesRecovered,10,2004
Arizona,thirdDowns,154,2004
Bowling Green,turnovers,10,2004
Hawai'i,firstDowns,288,2004
Nevada,turnovers,27,2004
Rutgers,totalYards,4334,2004
Arkansas,passingTDs,3,2004
Wake Forest,passingTDs,6,2004
Kentucky,fumblesLost,18,2004
Bowling Green,rushingTDs,22,2004
Utah,interceptionTDs,2,2004
Stanford,rushingAttempts,353,2004
Indiana,rushingTDs,7,2004
Miami (OH),rushingAttempts,453,2004
Rutgers,puntReturnTDs,0,2004
LSU,rushingYards,2326,2004
Iowa,passesIntercepted,14,2004
Duke,passCompletions,160,2004
NC State,games,11,2004
Iowa State,rushingAttempts,536,2004
Ohio State,puntReturnYards,218,2004
Western Michigan,fourthDowns,14,2004
SMU,possessionTime,11397,2004
TCU,thirdDowns,168,2004
BYU,firstDowns,214,2004
San José State,passingTDs,15,2004
Wisconsin,turnovers,23,2004
New Mexico,passCompletions,116,2004
South Carolina,passAttempts,280,2004
UTEP,games,12,2004
Buffalo,games,11,2004
Texas A&M,puntReturnYards,135,2004
California,passesIntercepted,10,2004
Arkansas,fumblesRecovered,12,2004
Army,fourthDownConversions,6,2004
Duke,penaltyYards,0,2004
Colorado State,puntReturnTDs,0,2004
Michigan,interceptionYards,322,2004
Nevada,puntReturnYards,207,2004
LSU,passesIntercepted,14,2004
Virginia Tech,puntReturnTDs,0,2004
New Mexico State,puntReturns,17,2004
Northwestern,rushingTDs,23,2004
South Florida,passesIntercepted,4,2004
Louisiana Tech,games,12,2004
South Florida,rushingYards,2066,2004
West Virginia,penalties,0,2004
Penn State,rushingTDs,12,2004
BYU,rushingYards,1149,2004
Northwestern,totalYards,4914,2004
Navy,fumblesLost,12,2004
Virginia Tech,possessionTime,14927,2004
Buffalo,fumblesRecovered,8,2004
Miami (OH),puntReturnYards,593,2004
New Mexico,passAttempts,259,2004
BYU,netPassingYards,3321,2004
Idaho,puntReturns,26,2004
New Mexico State,possessionTime,11666,2004
Bowling Green,thirdDownConversions,79,2004
New Mexico,turnovers,20,2004
Kansas,puntReturnTDs,0,2004
Stanford,puntReturnYards,270,2004
Duke,passAttempts,283,2004
Akron,thirdDowns,152,2004
Cincinnati,passAttempts,376,2004
UCF,turnovers,30,2004
Ole Miss,thirdDownConversions,46,2004
Temple,games,11,2004
Utah State,totalYards,3194,2004
Southern Mississippi,fourthDownConversions,7,2004
Nevada,fourthDowns,23,2004
Northern Illinois,fumblesLost,1,2004
North Texas,rushingTDs,21,2004
Kent State,passAttempts,387,2004
San José State,interceptions,9,2004
Boise State,penaltyYards,0,2004
Miami (OH),games,13,2004
Miami (OH),interceptionTDs,0,2004
UNLV,fourthDownConversions,11,2004
Temple,puntReturnYards,116,2004
Western Michigan,firstDowns,216,2004
Maryland,fourthDowns,11,2004
Stanford,passCompletions,208,2004
Miami,passCompletions,207,2004
Ole Miss,firstDowns,213,2004
Florida State,firstDowns,233,2004
Indiana,interceptionTDs,2,2004
Nevada,passingTDs,18,2004
TCU,totalYards,4738,2004
Virginia,fumblesRecovered,7,2004
Nevada,totalYards,5025,2004
Virginia Tech,totalYards,4752,2004
Duke,turnovers,27,2004
Utah,fumblesLost,9,2004
Rutgers,turnovers,39,2004
Tulane,rushingAttempts,376,2004
Penn State,fumblesRecovered,9,2004
Southern Mississippi,games,12,2004
Hawai'i,possessionTime,12884,2004
